Name,Position,Market Value,Actual Fee,New Team,Old Team
Dean Whitehead,CM,275000.0,0,Retired,Huddersfield Town
Jannik Vestergaard,CB,15400000.0,27500000.0,Southampton FC,Bor. M'gladbach
Mohamed Elyounoussi,LW,9350000.0,19800000.0,Southampton FC,FC Basel
Angus Gunn,GK,2200000.0,12430000.0,Southampton FC,Man City
Stuart Armstrong,CM,2200000.0,8750000.0,Southampton FC,Celtic
Yan Valery,RB,0,0,Southampton FC,Southampton U23
Michael Obafemi,CF,1100000.0,0,Southampton FC,Southampton U23
Manolo Gabbiadini,CF,11000000.0,13090000.0,Sampdoria,Southampton FC
Dusan Tadic,LW,16500000.0,12540000.0,Ajax,Southampton FC
Florin Gardos,CB,1430000.0,0,CS U Craiova,Southampton FC
Jérémy Pied,RB,2750000.0,0,LOSC Lille,Southampton FC
Ryan Seager,CF,110000.0,0,Yeovil Town,Southampton FC
Stuart Taylor,GK,275000.0,0,Retired,Southampton FC
Jonny Otto,LB,13200000.0,22550000.0,Wolverhampton Wanderers,Atlético Madrid
Adama Traoré,RW,8800000.0,22000000.0,Wolverhampton Wanderers,Middlesbrough
Rui Patrício,GK,17600000.0,19800000.0,Wolverhampton Wanderers,Sporting CP
Diogo Jota,LW,13200000.0,15400000.0,Wolverhampton Wanderers,Atlético Madrid
Willy Boly,CB,5500000.0,13200000.0,Wolverhampton Wanderers,FC Porto
Benik Afobe,CF,11000000.0,12540000.0,Wolverhampton Wanderers,Bournemouth
João Moutinho,CM,11000000.0,6160000.0,Wolverhampton Wanderers,Monaco
Léo Bonatini,CF,5500000.0,4400000.0,Wolverhampton Wanderers,Hilal
Rúben Vinagre,LB,550000.0,2480000.0,Wolverhampton Wanderers,Monaco
Max Kilman,CB,0,0,Wolverhampton Wanderers,Maidenhead Utd.
Benik Afobe,CF,11000000.0,14850000.0,Stoke City,Wolverhampton Wanderers
Danny Batth,CB,1100000.0,3800000.0,Stoke City,Wolverhampton Wanderers
Barry Douglas,LB,2200000.0,3740000.0,Leeds,Wolverhampton Wanderers
Ben Marshall,RM,1650000.0,1870000.0,Norwich,Wolverhampton Wanderers
Prince Oniangué,DM,1650000.0,550000.0,SM Caen,Wolverhampton Wanderers
Ben Stevenson,CM,550000.0,275000.0,Colchester Utd.,Wolverhampton Wanderers
Jonathan Flatt,GK,0,0,Scunthorpe Utd.,Wolverhampton Wanderers
Paul Gladon,CF,550000.0,0,FC Groningen,Wolverhampton Wanderers
Duckens Nazon,CF,385000.0,0,Sint-Truiden,Wolverhampton Wanderers
