Name,Value,Team
Jérémy Pied,2750000.0,Southampton FC
Mario Lemina,16500000.0,Southampton FC
Oriol Romeu,13200000.0,Southampton FC
Harrison Reed,1100000.0,Southampton FC
James Ward-Prowse,19800000.0,Southampton FC
Pierre-Emile Höjbjerg,11000000.0,Southampton FC
Steven Davis,4400000.0,Southampton FC
Nathan Redmond,19800000.0,Southampton FC
Dusan Tadic,16500000.0,Southampton FC
Sofiane Boufal,13200000.0,Southampton FC
Josh Sims,825000.0,Southampton FC
Guido Carrillo,16500000.0,Southampton FC
Manolo Gabbiadini,13200000.0,Southampton FC
Charlie Austin,11000000.0,Southampton FC
Shane Long,7700000.0,Southampton FC
Sam Gallagher,3300000.0,Southampton FC
Michael Obafemi,0,Southampton FC
Name,Value,Team
Kasper Schmeichel,11000000.0,Leicester City
Eldin Jakupovic,1100000.0,Leicester City
Ben Hamer,550000.0,Leicester City
Harry Maguire,27500000.0,Leicester City
Aleksandar Dragovic,11000000.0,Leicester City
Wes Morgan,3300000.0,Leicester City
Robert Huth,2750000.0,Leicester City
Yohan Benalouane,1100000.0,Leicester City
Sam Hughes,0,Leicester City
Ben Chilwell,8800000.0,Leicester City
Christian Fuchs,5500000.0,Leicester City
Danny Simpson,5500000.0,Leicester City
Josh Knight,0,Leicester City
Wilfred Ndidi,27500000.0,Leicester City
Nampalys Mendy,5500000.0,Leicester City
Daniel Amartey,5500000.0,Leicester City
Hamza Choudhury,1100000.0,Leicester City
Adrien Silva,22000000.0,Leicester City
Vicente Iborra,11000000.0,Leicester City
Andy King,3300000.0,Leicester City
Matty James,1650000.0,Leicester City
Marc Albrighton,11000000.0,Leicester City
Harvey Barnes,275000.0,Leicester City
George Thomas,550000.0,Leicester City
Demarai Gray,22000000.0,Leicester City
Ahmed Musa,16500000.0,Leicester City
Layton Ndukwu,0,Leicester City
Riyad Mahrez,55000000.0,Leicester City
Fousseni Diabaté,3300000.0,Leicester City
Jamie Vardy,22000000.0,Leicester City
Islam Slimani,19800000.0,Leicester City
Kelechi Iheanacho,16500000.0,Leicester City
Shinji Okazaki,6600000.0,Leicester City
Leonardo Ulloa,5500000.0,Leicester City
Fraser Forster,16500000.0,Southampton FC
Alex McCarthy,2750000.0,Southampton FC
Stuart Taylor,275000.0,Southampton FC
Virgil van Dijk,55000000.0,Southampton FC
Wesley Hoedt,16500000.0,Southampton FC
Jack Stephens,8800000.0,Southampton FC
Maya Yoshida,7700000.0,Southampton FC
Jan Bednarek,5500000.0,Southampton FC
Ryan Bertrand,22000000.0,Southampton FC
Matt Targett,3300000.0,Southampton FC
Sam McQueen,1100000.0,Southampton FC
Cédric Soares,16500000.0,Southampton FC
Jérémy Pied,2750000.0,Southampton FC
Mario Lemina,16500000.0,Southampton FC
Oriol Romeu,13200000.0,Southampton FC
Harrison Reed,1100000.0,Southampton FC
James Ward-Prowse,19800000.0,Southampton FC
Pierre-Emile Höjbjerg,11000000.0,Southampton FC
Steven Davis,4400000.0,Southampton FC
Nathan Redmond,19800000.0,Southampton FC
Dusan Tadic,16500000.0,Southampton FC
Sofiane Boufal,13200000.0,Southampton FC
Josh Sims,825000.0,Southampton FC
Guido Carrillo,16500000.0,Southampton FC
Manolo Gabbiadini,13200000.0,Southampton FC
Charlie Austin,11000000.0,Southampton FC
Shane Long,7700000.0,Southampton FC
Sam Gallagher,3300000.0,Southampton FC
Michael Obafemi,0,Southampton FC
Wayne Hennessey,4400000.0,Crystal Palace
Diego Cavalieri,1100000.0,Crystal Palace
Julián Speroni,275000.0,Crystal Palace
Dion Henry,55000.0,Crystal Palace
Mamadou Sakho,16500000.0,Crystal Palace
James Tomkins,8800000.0,Crystal Palace
Scott Dann,5500000.0,Crystal Palace
Jairo Riedewald,5500000.0,Crystal Palace
Jaroslaw Jach,2200000.0,Crystal Palace
Damien Delaney,1100000.0,Crystal Palace
Ryan Inniss,83000.0,Crystal Palace
Patrick van Aanholt,9900000.0,Crystal Palace
Pape Souaré,3850000.0,Crystal Palace
Timothy Fosu-Mensah,7700000.0,Crystal Palace
Joel Ward,5500000.0,Crystal Palace
Martin Kelly,3300000.0,Crystal Palace
Aaron Wan-Bissaka,1100000.0,Crystal Palace
Luka Milivojevic,16500000.0,Crystal Palace
Ruben Loftus-Cheek,16500000.0,Crystal Palace
Yohan Cabaye,11000000.0,Crystal Palace
James McArthur,6600000.0,Crystal Palace
Jordon Mutch,2200000.0,Crystal Palace
Erdal Rakip,1650000.0,Crystal Palace
Michael Phillips,0,Crystal Palace
Nya Kirby,0,Crystal Palace
Jeffrey Schlupp,9900000.0,Crystal Palace
Jason Puncheon,5500000.0,Crystal Palace
Jonathan Williams,1100000.0,Crystal Palace
Bakary Sako,5500000.0,Crystal Palace
Sullay Kaikai,550000.0,Crystal Palace
Keshi Anderson,110000.0,Crystal Palace
Levi Lumeka,0,Crystal Palace
Wilfried Zaha,33000000.0,Crystal Palace
Andros Townsend,16500000.0,Crystal Palace
Chung-yong Lee,1650000.0,Crystal Palace
Jason Lokilo,0,Crystal Palace
Christian Benteke,24200000.0,Crystal Palace
Alexander Sörloth,7700000.0,Crystal Palace
Connor Wickham,5500000.0,Crystal Palace
Freddie Ladapo,275000.0,Crystal Palace
James Daly,0,Crystal Palace
Jack Butland,24200000.0,Stoke City
Lee Grant,1100000.0,Stoke City
Jakob Haugaard,550000.0,Stoke City
Kurt Zouma,16500000.0,Stoke City
Kevin Wimmer,11000000.0,Stoke City
Bruno Martins Indi,11000000.0,Stoke City
Ryan Shawcross,11000000.0,Stoke City
Philipp Wollscheid,2750000.0,Stoke City
Ryan Sweeney,275000.0,Stoke City
Harry Souttar,220000.0,Stoke City
Erik Pieters,6600000.0,Stoke City
Konstantinos Stafylidis,3850000.0,Stoke City
Josh Tymon,2200000.0,Stoke City
Moritz Bauer,5500000.0,Stoke City
Glen Johnson,2750000.0,Stoke City
Tom Edwards,1100000.0,Stoke City
Geoff Cameron,2750000.0,Stoke City
Joe Allen,19800000.0,Stoke City
Badou Ndiaye,16500000.0,Stoke City
Charlie Adam,2750000.0,Stoke City
Darren Fletcher,2200000.0,Stoke City
Lasse Sörensen,0,Stoke City
Ibrahim Afellay,1650000.0,Stoke City
Stephen Ireland,1100000.0,Stoke City
Jesé,8250000.0,Stoke City
Ramadan Sobhi,7700000.0,Stoke City
Xherdan Shaqiri,19800000.0,Stoke City
Thibaud Verlinden,275000.0,Stoke City
Bojan Krkic,1650000.0,Stoke City
Saido Berahino,8800000.0,Stoke City
Eric Maxim Choupo-Moting,8800000.0,Stoke City
Mame Diouf,7700000.0,Stoke City
Peter Crouch,1100000.0,Stoke City
Julien Ngoy,275000.0,Stoke City
Tyrese Campbell,0,Stoke City
Name,Value,Team
Lukasz Fabianski,5500000.0,Swansea City
Erwin Mulder,2200000.0,Swansea City
Kristoffer Nordfeldt,1650000.0,Swansea City
Alfie Mawson,16500000.0,Swansea City
Federico Fernández,8800000.0,Swansea City
Kyle Bartley,3850000.0,Swansea City
Mike van der Hoorn,2750000.0,Swansea City
Joe Rodon,0,Swansea City
Martin Olsson,5500000.0,Swansea City
Kyle Naughton,5500000.0,Swansea City
Ángel Rangel,1100000.0,Swansea City
Connor Roberts,1100000.0,Swansea City
Sung-yueng Ki,7700000.0,Swansea City
Adnan Maric,44000.0,Swansea City
Renato Sanches,22000000.0,Swansea City
Leroy Fer,8800000.0,Swansea City
Sam Clucas,8800000.0,Swansea City
Roque Mesa,7700000.0,Swansea City
Tom Carroll,7700000.0,Swansea City
Andy King,3300000.0,Swansea City
Matt Grimes,1100000.0,Swansea City
Leon Britton,1100000.0,Swansea City
Jay Fulton,550000.0,Swansea City
Adam King,165000.0,Swansea City
George Byers,55000.0,Swansea City
